Tweet,Sentiment
Brilliant infrastructure and sea views. [33],positive
Why is the coastal road closed on weekends? [47],negative
Too much congestion at the toll plaza. [64],negative
Taking the coastal road today for my commute. [71],neutral
Brilliant infrastructure and sea views. [8],positive
Still stuck in traffic at Haji Ali. [68],negative
Brilliant infrastructure and sea views. [23],positive
The speed limit on the coastal road is 80 km/h. [97],neutral
Taking the coastal road today for my commute. [96],neutral
Amazing experience on the new Mumbai Coastal Road! [30],positive
Traffic in Worli has reduced significantly. [27],positive
Potholes already appearing on connecting roads. [46],negative
Traffic in Worli has reduced significantly. [17],positive
Still stuck in traffic at Haji Ali. [58],negative
The speed limit on the coastal road is 80 km/h. [87],neutral
Traffic in Worli has reduced significantly. [22],positive
Still stuck in traffic at Haji Ali. [43],negative
Brilliant infrastructure and sea views. [28],positive
Phase 2 of the Mumbai Coastal Road opens next month. [75],neutral
The coastal road is a masterclass in civil engineering. [31],positive
The coastal road is a masterclass in civil engineering. [1],positive
Phase 2 of the Mumbai Coastal Road opens next month. [70],neutral
Amazing experience on the new Mumbai Coastal Road! [35],positive
News: Coastal road connects to Bandra-Worli Sea Link. [78],neutral
The coastal road entry points are a traffic nightmare. [40],negative
The speed limit on the coastal road is 80 km/h. [82],neutral
The coastal road entry points are a traffic nightmare. [65],negative
Taking the coastal road today for my commute. [81],neutral
The coastal road is a masterclass in civil engineering. [6],positive
Too much congestion at the toll plaza. [69],negative
The speed limit on the coastal road is 80 km/h. [72],neutral
The coastal road is a masterclass in civil engineering. [26],positive
Phase 2 of the Mumbai Coastal Road opens next month. [80],neutral
Amazing experience on the new Mumbai Coastal Road! [10],positive
Why is the coastal road closed on weekends? [62],negative
Just saw the new tunnels on the coastal road. [79],neutral
News: Coastal road connects to Bandra-Worli Sea Link. [98],neutral
The speed limit on the coastal road is 80 km/h. [92],neutral
Just saw the new tunnels on the coastal road. [74],neutral
"Finally, Mumbai gets the infrastructure it deserves. [9]",positive
Why is the coastal road closed on weekends? [67],negative
Potholes already appearing on connecting roads. [56],negative
Too much congestion at the toll plaza. [49],negative
Taking the coastal road today for my commute. [91],neutral
"Finally, Mumbai gets the infrastructure it deserves. [34]",positive
The coastal road entry points are a traffic nightmare. [45],negative
Amazing experience on the new Mumbai Coastal Road! [25],positive
Still stuck in traffic at Haji Ali. [63],negative
Amazing experience on the new Mumbai Coastal Road! [5],positive
Too much congestion at the toll plaza. [54],negative
"Finally, Mumbai gets the infrastructure it deserves. [19]",positive
Just saw the new tunnels on the coastal road. [99],neutral
Still stuck in traffic at Haji Ali. [48],negative
Why is the coastal road closed on weekends? [42],negative
Phase 2 of the Mumbai Coastal Road opens next month. [85],neutral
The coastal road is a masterclass in civil engineering. [11],positive
Just saw the new tunnels on the coastal road. [84],neutral
Traffic in Worli has reduced significantly. [2],positive
Just saw the new tunnels on the coastal road. [89],neutral
Traffic in Worli has reduced significantly. [32],positive
Potholes already appearing on connecting roads. [41],negative
Brilliant infrastructure and sea views. [3],positive
"Finally, Mumbai gets the infrastructure it deserves. [4]",positive
Potholes already appearing on connecting roads. [66],negative
Brilliant infrastructure and sea views. [13],positive
Why is the coastal road closed on weekends? [57],negative
News: Coastal road connects to Bandra-Worli Sea Link. [73],neutral
News: Coastal road connects to Bandra-Worli Sea Link. [93],neutral
Amazing experience on the new Mumbai Coastal Road! [20],positive
Still stuck in traffic at Haji Ali. [53],negative
Too much congestion at the toll plaza. [44],negative
"Finally, Mumbai gets the infrastructure it deserves. [14]",positive
Potholes already appearing on connecting roads. [61],negative
Amazing experience on the new Mumbai Coastal Road! [15],positive
Taking the coastal road today for my commute. [76],neutral
The speed limit on the coastal road is 80 km/h. [77],neutral
"Finally, Mumbai gets the infrastructure it deserves. [29]",positive
Brilliant infrastructure and sea views. [38],positive
Just saw the new tunnels on the coastal road. [94],neutral
Too much congestion at the toll plaza. [59],negative
Potholes already appearing on connecting roads. [51],negative
The coastal road is a masterclass in civil engineering. [36],positive
"Finally, Mumbai gets the infrastructure it deserves. [39]",positive
Amazing experience on the new Mumbai Coastal Road! [0],positive
News: Coastal road connects to Bandra-Worli Sea Link. [83],neutral
Brilliant infrastructure and sea views. [18],positive
The coastal road is a masterclass in civil engineering. [16],positive
Traffic in Worli has reduced significantly. [7],positive
Traffic in Worli has reduced significantly. [12],positive
Traffic in Worli has reduced significantly. [37],positive
Why is the coastal road closed on weekends? [52],negative
Phase 2 of the Mumbai Coastal Road opens next month. [90],neutral
News: Coastal road connects to Bandra-Worli Sea Link. [88],neutral
The coastal road is a masterclass in civil engineering. [21],positive
Phase 2 of the Mumbai Coastal Road opens next month. [95],neutral
The coastal road entry points are a traffic nightmare. [50],negative
"Finally, Mumbai gets the infrastructure it deserves. [24]",positive
The coastal road entry points are a traffic nightmare. [55],negative
The coastal road entry points are a traffic nightmare. [60],negative
Taking the coastal road today for my commute. [86],neutral
